cgpa,internships,projects,aptitude_score,communication_score,active_backlogs,dept,skill_level,placement_status
9.98,2,7,77,9,4,CSE,High,1
6.78,4,0,92,5,3,MECH,High,1
8.81,4,5,93,1,1,EEE,High,1
7.97,4,1,62,9,2,CSE,High,1
8.46,4,4,95,2,3,CSE,Medium,1
5.76,0,4,98,4,2,CSE,Medium,1
6.99,1,8,97,5,4,ECE,Medium,1
6.2,3,1,66,8,4,CSE,Medium,1
6.72,2,3,91,2,4,EEE,Medium,0
7.57,0,5,98,7,3,CSE,High,1
8.33,0,8,52,9,1,EEE,High,1
5.53,1,7,40,6,1,CSE,High,1
5.65,2,7,72,2,3,MECH,High,1
6.61,3,3,49,3,4,CSE,High,1
8.31,1,1,91,1,4,ECE,High,0
9.23,0,3,53,5,3,CSE,Low,1
7.77,3,1,65,9,1,CSE,Medium,1
9.27,2,6,41,5,0,ECE,High,1
6.92,0,8,85,8,2,ECE,Medium,1
6.58,0,4,93,1,0,CSE,Low,1
6.77,3,2,46,3,4,CSE,High,1
5.86,4,2,66,6,0,EEE,High,1
9.15,0,8,97,8,0,EEE,High,1
6.69,4,6,62,8,3,MECH,High,1
7.76,1,6,83,9,4,EEE,Low,1
7.89,2,9,94,2,1,ECE,High,1
7.61,3,6,63,3,0,CSE,High,1
5.01,4,4,80,6,3,CSE,Low,1
9.94,3,4,97,8,4,ECE,Low,1
9.53,3,6,55,3,3,EEE,Medium,1
6.04,4,6,40,6,4,MECH,High,1
6.46,0,9,41,3,4,CSE,Medium,0
7.6,4,0,58,7,2,ECE,Medium,1
9.51,2,8,62,5,1,CSE,Medium,1
9.92,2,7,50,1,1,EEE,Medium,1
6.29,4,6,49,8,2,CSE,Low,1
7.82,0,2,87,1,4,EEE,Medium,0
9.03,2,4,74,4,3,ECE,Medium,1
6.97,1,2,83,8,0,ECE,Medium,1
8.66,4,4,90,3,4,CSE,High,1
5.81,1,9,43,5,0,MECH,Low,1
8.0,2,4,78,5,2,EEE,Medium,1
9.33,1,8,79,5,2,ECE,Low,1
9.92,3,2,97,2,3,EEE,Medium,1
5.4,1,6,52,9,2,EEE,Medium,1
7.14,2,2,43,6,4,EEE,Medium,0
6.02,1,1,98,6,4,CSE,Medium,0
7.25,4,3,49,8,1,ECE,High,1
7.74,0,0,79,6,3,MECH,Medium,0
5.47,3,9,46,8,1,CSE,Medium,1
6.48,1,8,54,3,0,ECE,Medium,1
9.64,4,8,71,6,1,CSE,Medium,1
7.85,3,0,86,2,4,CSE,Medium,1
7.29,0,6,40,8,0,CSE,Medium,1
8.77,0,4,71,5,4,CSE,High,1
8.71,4,7,88,4,0,ECE,Medium,1
5.24,0,1,67,6,0,ECE,Low,1
8.54,4,5,99,1,2,CSE,Low,1
9.2,0,0,75,8,1,ECE,High,1
5.83,1,3,41,8,0,CSE,Medium,1
8.9,2,3,69,2,3,CSE,Low,1
6.43,2,0,47,6,0,ECE,High,1
6.53,2,8,58,1,1,ECE,High,1
8.33,2,5,52,4,1,CSE,High,1
5.56,1,1,99,4,0,CSE,Medium,1
8.32,3,1,55,5,0,ECE,High,1
9.44,4,1,73,6,0,ECE,Low,1
8.48,3,3,58,1,3,EEE,Medium,1
7.2,3,4,45,7,2,MECH,Low,1
7.19,0,7,84,9,4,CSE,Low,0
8.83,3,8,91,1,2,CSE,High,1
7.83,4,0,60,7,3,ECE,Low,1
5.42,1,2,71,8,1,MECH,Medium,1
7.91,0,7,47,7,4,MECH,Low,0
9.07,1,0,68,5,1,CSE,High,1
6.69,2,3,93,3,0,ECE,High,1
9.64,3,5,73,9,0,CSE,Medium,1
8.75,1,9,57,8,2,ECE,Low,1
7.87,1,7,42,3,2,MECH,High,1
8.76,1,3,90,9,4,CSE,Low,1
5.4,4,7,55,3,1,CSE,Low,1
9.3,2,2,60,7,0,CSE,Medium,1
9.11,2,2,73,2,3,ECE,Low,1
9.55,4,0,84,2,4,EEE,High,1
5.64,0,6,83,3,1,ECE,Medium,1
5.41,2,1,41,3,1,ECE,Low,1
5.69,4,5,82,8,3,ECE,High,1
7.0,2,5,80,1,0,ECE,High,1
7.12,2,7,51,3,2,MECH,Low,1
7.81,4,2,86,9,0,ECE,High,1
5.61,1,0,42,7,4,CSE,Medium,0
6.01,1,2,76,6,2,CSE,Medium,1
9.06,2,1,42,6,3,ECE,High,1
7.34,4,9,69,1,1,EEE,Low,1
9.04,0,9,87,2,4,MECH,Low,0
5.04,1,9,86,8,2,MECH,Medium,1
7.76,1,0,49,4,0,CSE,High,1
9.66,2,6,45,4,1,EEE,Low,1
7.91,3,9,68,1,3,EEE,Low,1
6.03,2,2,97,3,4,EEE,High,0
8.59,0,2,56,6,0,EEE,Medium,1
6.89,3,2,70,5,3,CSE,Low,1
8.34,1,3,93,2,0,CSE,Medium,1
5.15,3,3,84,3,1,CSE,Medium,1
8.18,0,0,73,7,4,ECE,Medium,0
5.16,3,6,42,8,0,CSE,High,1
8.72,0,6,88,1,0,EEE,Medium,1
7.36,3,2,48,7,3,ECE,Medium,1
5.61,1,2,98,7,0,ECE,High,1
7.71,2,5,64,5,3,CSE,Low,1
5.33,1,7,70,7,3,CSE,Medium,1
8.27,0,4,85,3,4,CSE,Low,0
9.98,1,0,86,4,3,MECH,Medium,1
8.85,2,0,40,3,2,ECE,High,1
7.87,2,3,80,8,0,CSE,Low,1
5.51,4,5,76,9,4,EEE,Low,1
8.5,3,7,41,7,2,EEE,High,1
8.31,3,4,49,4,2,EEE,Low,1
5.25,4,0,89,4,1,ECE,Medium,1
8.96,0,9,81,3,3,CSE,Medium,1
7.59,2,3,70,1,4,CSE,Medium,1
7.13,3,6,63,2,3,CSE,High,1
8.94,2,7,47,4,2,ECE,Medium,1
7.06,0,4,74,7,0,EEE,Low,1
7.41,2,0,89,9,3,ECE,Low,1
5.91,4,9,49,7,2,CSE,Medium,1
6.61,4,9,79,9,0,CSE,High,1
9.23,1,0,80,2,4,EEE,High,1
5.93,3,4,55,5,4,ECE,Medium,1
7.09,1,5,90,5,3,MECH,High,1
9.95,0,6,75,1,0,CSE,Medium,1
6.18,3,2,90,3,0,ECE,Low,1
9.58,0,3,49,1,1,EEE,High,1
9.59,2,5,56,2,1,ECE,Medium,1
5.46,4,0,86,2,2,MECH,Low,1
7.32,2,6,72,3,3,ECE,Low,1
7.51,2,2,78,9,3,EEE,High,1
6.57,4,3,59,8,2,CSE,Medium,1
5.24,4,4,40,7,3,CSE,Medium,1
6.21,0,5,45,9,1,CSE,High,1
5.48,0,5,83,7,1,CSE,Medium,1
6.19,0,6,98,5,4,ECE,High,0
9.04,4,4,76,4,0,MECH,Medium,1
9.47,1,7,68,3,3,ECE,Medium,1
5.22,1,4,64,1,1,MECH,Medium,1
6.51,0,2,70,9,2,CSE,High,1
9.9,3,2,80,7,0,CSE,Low,1
7.7,4,4,67,1,2,CSE,High,1
8.13,1,4,77,3,1,ECE,Medium,1
5.03,0,6,93,4,1,EEE,Low,1
7.42,0,5,83,4,2,EEE,Medium,1
9.94,0,0,40,8,3,EEE,Low,1
6.88,1,2,58,6,4,MECH,High,0
5.49,0,4,93,8,4,CSE,Medium,0
7.31,2,6,76,2,2,ECE,High,1
9.82,0,2,85,2,0,MECH,High,1
6.71,0,7,45,7,0,CSE,Low,1
8.99,1,8,59,1,0,ECE,High,1
8.99,3,6,43,6,2,CSE,Medium,1
6.04,0,5,97,7,0,CSE,Medium,1
7.22,4,9,53,2,2,EEE,High,1
8.58,0,9,55,3,0,MECH,Low,1
7.05,2,6,73,9,4,EEE,Low,1
5.96,1,4,54,2,2,EEE,Medium,0
9.84,4,1,75,6,2,EEE,Low,1
8.25,2,5,80,5,2,CSE,Low,1
9.33,3,4,79,3,3,ECE,High,1
5.13,3,7,61,6,2,ECE,Medium,1
6.33,2,4,51,5,2,ECE,High,1
7.51,3,2,99,8,3,MECH,Low,1
5.34,0,2,60,3,0,ECE,Low,1
9.97,0,1,43,2,2,MECH,Medium,1
6.18,4,2,82,2,4,CSE,High,1
6.87,3,1,65,9,2,CSE,Low,1
6.07,1,9,88,3,1,MECH,Low,1
5.53,1,6,78,6,1,EEE,Low,1
6.16,4,7,62,9,4,EEE,Medium,1
6.5,2,5,93,3,2,ECE,High,1
8.17,0,6,97,6,1,EEE,High,1
6.41,2,7,85,3,2,CSE,High,1
6.81,2,1,76,8,0,ECE,Medium,1
5.03,0,1,52,4,3,ECE,Low,0
6.83,4,7,83,6,1,ECE,Medium,1
7.67,3,7,98,7,4,ECE,High,1
5.81,1,4,41,7,1,MECH,Medium,1
7.99,3,4,87,2,3,CSE,Low,1
6.47,2,5,42,6,3,MECH,Low,1
8.16,3,4,91,5,2,MECH,Low,1
5.13,0,8,80,5,4,EEE,Low,0
9.44,1,4,74,4,1,EEE,Medium,1
5.08,3,9,97,4,1,ECE,High,1
5.63,4,7,99,9,4,MECH,High,1
8.89,2,3,79,6,2,MECH,Low,1
5.23,1,7,54,7,0,ECE,Medium,1
8.55,4,0,92,4,3,MECH,Low,1
9.86,1,1,48,1,4,ECE,High,1
9.36,2,3,49,6,4,CSE,High,1
8.55,2,8,48,8,0,EEE,Low,1
9.79,0,6,93,9,0,CSE,Low,1
7.15,4,7,41,4,4,CSE,High,1
9.36,1,0,62,7,4,EEE,Medium,1
6.78,2,7,73,3,4,CSE,Medium,1
9.65,4,1,58,7,2,CSE,Medium,1
5.74,0,6,74,5,3,EEE,High,0
9.7,3,0,76,2,1,MECH,Medium,1
9.16,1,0,64,5,0,EEE,Medium,1
9.23,2,2,57,4,1,EEE,Medium,1
5.62,2,4,95,3,2,CSE,Medium,1
7.98,4,9,81,8,4,ECE,Medium,1
5.08,1,7,80,3,2,CSE,High,1
8.61,1,3,81,1,3,CSE,Medium,1
5.04,4,2,58,8,0,CSE,High,1
5.42,2,4,75,1,1,EEE,High,1
6.13,4,7,64,9,3,CSE,Medium,1
9.38,4,9,87,7,2,CSE,High,1
6.82,4,1,99,7,0,MECH,Low,1
7.7,0,7,89,7,3,ECE,Medium,1
7.84,3,9,55,6,2,CSE,Medium,1
6.13,4,8,85,4,3,EEE,Low,1
7.86,2,9,68,6,3,CSE,Medium,1
8.3,3,5,84,1,1,CSE,High,1
6.49,4,8,56,5,4,CSE,High,1
7.09,2,5,94,4,4,CSE,Medium,1
7.27,2,0,51,5,0,MECH,Medium,1
9.66,3,8,54,2,0,ECE,High,1
7.94,0,8,63,3,3,ECE,High,1
9.74,3,4,84,7,0,EEE,High,1
7.78,2,6,51,4,3,CSE,Low,1
7.5,3,0,97,8,0,MECH,Low,1
5.02,1,0,54,9,1,CSE,High,1
7.4,0,1,47,8,2,CSE,Low,1
9.64,2,9,85,4,4,CSE,Low,1
5.99,2,5,64,4,2,ECE,High,1
5.26,3,5,66,5,1,ECE,Low,1
7.03,0,0,82,4,3,CSE,Medium,0
6.86,2,6,58,6,0,MECH,Low,1
9.29,4,2,40,7,1,CSE,Medium,1
5.13,0,8,56,5,2,CSE,High,0
9.6,4,9,79,9,0,CSE,Low,1
8.4,0,8,46,1,2,EEE,Low,1
9.52,2,6,40,3,3,MECH,High,1
8.04,3,9,70,4,3,ECE,Medium,1
9.06,2,3,54,5,0,CSE,Medium,1
6.68,0,1,95,1,2,CSE,High,1
6.75,0,7,47,6,0,CSE,Low,1
6.95,4,3,83,3,1,ECE,Low,1
8.77,3,8,95,3,0,MECH,Medium,1
6.85,3,0,95,5,3,ECE,Medium,1
6.21,1,7,63,7,4,MECH,Medium,0
9.69,3,4,45,2,3,CSE,High,1
9.54,3,5,84,1,0,MECH,Low,1
6.74,3,4,74,3,1,CSE,High,1
8.17,0,5,62,9,2,MECH,Medium,1
6.37,3,8,55,4,3,CSE,Low,1
6.03,4,6,83,9,2,CSE,Low,1
6.68,2,6,65,7,4,MECH,Low,1
6.64,3,1,95,9,2,ECE,High,1
9.41,2,0,58,3,2,ECE,High,1
9.11,1,6,70,1,4,ECE,Medium,1
8.55,1,1,87,1,3,CSE,High,1
9.8,1,1,52,1,1,ECE,Medium,1
7.11,0,7,83,3,2,EEE,High,1
6.23,4,4,98,6,0,EEE,Medium,1
5.59,2,4,51,5,0,CSE,High,1
6.51,3,5,74,3,2,MECH,Low,1
5.73,1,5,73,6,0,EEE,Low,1
5.46,0,0,66,2,2,MECH,High,0
8.01,2,3,90,8,0,CSE,High,1
6.82,0,8,92,9,1,CSE,High,1
7.82,2,3,86,9,3,CSE,Medium,1
5.96,1,8,50,5,2,ECE,Medium,1
8.38,0,0,89,8,1,MECH,Medium,1
6.08,3,5,64,9,3,EEE,Medium,1
6.39,1,2,41,6,4,CSE,Medium,0
8.71,2,0,92,9,1,CSE,Medium,1
7.8,0,8,41,9,2,EEE,High,1
6.67,0,4,85,6,2,ECE,Low,1
7.71,4,8,50,5,1,CSE,Medium,1
8.47,3,3,86,2,2,MECH,Low,1
9.56,1,0,40,9,3,EEE,High,1
7.9,0,2,52,9,4,EEE,High,0
6.16,1,5,42,5,3,MECH,Low,0
8.73,0,1,77,1,0,ECE,High,1
8.89,4,7,54,6,2,ECE,Low,1
6.0,2,5,91,8,0,CSE,Medium,1
9.1,0,3,86,2,0,EEE,Medium,1
7.32,2,7,53,1,1,CSE,Medium,1
8.9,1,5,64,6,2,ECE,Medium,1
6.19,1,5,93,9,1,CSE,Low,1
6.66,2,8,61,7,3,MECH,Medium,1
9.77,4,5,56,7,2,ECE,Low,1
8.29,4,0,53,4,1,CSE,Medium,1
8.86,2,0,82,6,0,CSE,Low,1
8.44,1,9,48,7,1,CSE,High,1
6.02,0,7,97,6,0,ECE,Medium,1
7.35,0,2,82,3,0,ECE,High,1
9.04,1,3,77,2,2,EEE,Medium,1
8.38,0,8,85,5,1,CSE,Low,1
5.03,1,5,81,2,2,MECH,Medium,0
5.44,2,6,65,7,3,ECE,High,1
6.73,1,2,63,3,3,EEE,Medium,0
9.72,0,9,52,9,2,MECH,Low,1
7.46,0,6,96,6,2,ECE,Low,1
6.35,3,6,50,6,2,CSE,Low,1
6.8,4,1,58,4,1,ECE,High,1
6.05,0,4,42,6,2,ECE,High,0
7.11,2,2,95,4,0,CSE,Medium,1
6.09,0,6,71,2,0,CSE,High,1
9.23,4,7,84,2,4,EEE,Low,1
7.28,0,0,74,1,3,EEE,High,0
6.4,0,0,87,5,2,CSE,Medium,1
9.66,4,3,42,2,4,MECH,Low,1
6.57,2,4,60,3,2,MECH,High,1
9.55,3,7,87,2,4,EEE,Medium,1
5.22,2,3,69,2,2,EEE,Medium,1
8.54,2,9,64,6,2,EEE,Low,1
7.42,2,7,75,1,4,ECE,Low,1
7.22,4,5,66,3,1,ECE,Medium,1
5.18,4,9,43,6,1,CSE,Low,1
5.2,0,6,61,6,2,ECE,Low,0
6.66,0,5,51,9,4,EEE,Low,0
9.74,1,7,65,3,4,CSE,Low,1
8.09,0,7,45,9,3,MECH,Medium,1
6.84,0,6,42,5,1,MECH,Low,1
8.06,0,4,45,6,4,CSE,High,0
6.03,1,1,88,6,0,ECE,High,1
5.83,1,5,99,1,2,MECH,Medium,1
6.81,0,9,75,8,4,MECH,High,0
9.32,4,4,49,8,3,EEE,Low,1
7.55,3,1,88,8,2,ECE,Low,1
6.48,1,6,43,2,0,EEE,Low,1
9.75,0,4,87,7,2,ECE,Medium,1
9.08,1,5,65,4,3,CSE,Low,1
6.61,4,7,79,6,0,MECH,High,1
9.86,0,5,68,7,4,CSE,Medium,1
9.94,0,0,99,5,0,CSE,High,1
7.04,2,8,86,2,4,ECE,Medium,1
8.28,3,5,57,6,4,CSE,Medium,1
7.03,2,5,71,8,4,CSE,Medium,1
6.29,4,6,41,3,3,CSE,Medium,1
5.41,2,2,60,2,4,EEE,Low,0
6.32,3,8,97,8,0,CSE,High,1
6.36,3,9,80,9,2,CSE,Medium,1
6.99,3,5,71,9,2,MECH,Medium,1
5.92,3,5,79,6,3,EEE,Medium,1
9.77,2,6,65,2,0,CSE,Medium,1
5.51,0,2,79,5,1,CSE,Medium,1
8.13,1,8,80,5,1,ECE,Medium,1
7.21,3,2,99,4,3,ECE,Medium,1
7.12,3,9,91,8,2,EEE,High,1
6.86,3,9,42,2,0,ECE,Low,1
9.34,0,8,47,4,4,CSE,Medium,1
6.4,3,0,57,7,1,ECE,Medium,1
5.1,3,6,78,1,4,ECE,Medium,0
9.59,2,9,83,3,3,EEE,Medium,1
9.32,2,4,55,2,3,EEE,High,1
6.38,4,9,83,1,4,CSE,Low,1
7.62,1,4,60,7,3,CSE,Medium,1
5.55,2,6,77,8,4,MECH,Low,0
5.47,3,5,56,9,3,CSE,Low,1
9.19,2,3,70,4,0,CSE,Medium,1
7.05,2,3,48,9,3,EEE,High,1
8.31,4,2,55,8,0,EEE,Medium,1
9.72,1,1,47,7,4,ECE,Low,1
6.23,3,8,58,8,1,CSE,Medium,1
5.07,2,7,65,7,2,EEE,High,1
5.12,3,2,95,9,2,MECH,High,1
8.55,1,9,85,5,4,CSE,Low,1
9.62,1,9,87,2,1,ECE,Medium,1
7.34,0,3,82,8,1,CSE,Low,1
6.88,0,7,68,5,2,MECH,Low,1
7.71,4,0,64,1,3,EEE,Low,1
9.29,2,3,56,3,4,CSE,Medium,1
8.26,3,0,79,7,2,CSE,High,1
6.16,2,4,59,1,2,EEE,High,1
8.87,0,6,67,5,0,EEE,High,1
5.67,0,0,48,6,0,ECE,Medium,1
5.83,2,0,81,4,3,CSE,Medium,1
8.06,0,8,60,7,3,CSE,Medium,1
6.19,4,6,74,5,3,ECE,High,1
8.52,3,8,84,8,4,CSE,Low,1
6.75,0,6,42,1,4,EEE,High,0
6.39,1,7,60,7,1,ECE,Medium,1
9.99,3,1,82,7,2,CSE,Low,1
5.2,3,2,55,5,0,CSE,Low,1
8.23,2,5,58,5,1,ECE,High,1
5.19,1,1,54,4,0,ECE,Medium,1
8.8,0,3,88,2,2,MECH,High,1
6.15,3,6,95,6,0,MECH,High,1
5.45,3,7,97,4,3,CSE,High,1
8.24,4,3,41,9,2,MECH,Medium,1
8.66,3,3,63,3,1,EEE,Low,1
8.39,2,4,89,3,0,CSE,Low,1
5.26,0,1,62,6,1,CSE,Low,0
6.47,3,9,65,2,4,MECH,Low,1
7.26,4,3,99,3,0,ECE,Medium,1
6.44,3,0,82,8,1,CSE,Medium,1
9.05,2,7,74,2,3,MECH,High,1
5.66,0,9,46,5,3,MECH,High,0
8.06,4,6,46,4,0,CSE,Low,1
9.94,1,0,54,2,0,CSE,Low,1
9.51,2,3,43,2,0,EEE,Medium,1
6.11,0,7,91,7,0,ECE,Medium,1
5.0,2,9,62,5,3,CSE,Medium,1
9.9,4,0,91,3,4,EEE,Low,1
9.41,1,0,83,1,1,EEE,Medium,1
9.6,0,1,62,4,2,CSE,High,1
7.08,4,2,70,7,1,MECH,High,1
8.72,2,4,83,5,1,CSE,Medium,1
6.06,4,2,85,6,1,ECE,Medium,1
6.96,4,3,92,1,3,CSE,High,1
9.26,4,5,49,9,4,CSE,High,1
5.64,0,6,52,1,3,EEE,Low,0
9.47,1,1,90,5,1,ECE,Low,1
7.48,2,6,76,6,1,CSE,Medium,1
7.13,3,8,41,1,4,MECH,Medium,1
6.53,4,6,62,7,4,ECE,Low,1
9.58,1,2,88,8,4,MECH,High,1
7.59,4,4,90,7,1,EEE,High,1
9.02,0,2,67,7,2,ECE,High,1
9.29,3,6,59,7,0,CSE,High,1
9.61,1,4,76,5,2,EEE,Medium,1
6.52,4,0,64,5,2,CSE,Low,1
6.7,4,6,59,2,3,ECE,Medium,1
7.98,0,2,68,8,4,ECE,Medium,0
7.21,0,0,62,1,2,CSE,High,0
9.66,3,7,88,9,0,CSE,Medium,1
6.99,0,7,96,7,0,ECE,Low,1
7.39,1,4,72,2,1,MECH,Low,1
8.09,0,9,62,1,3,CSE,Low,0
7.02,0,9,42,7,4,MECH,Medium,0
9.96,2,9,45,1,1,ECE,Medium,1
5.49,4,5,85,1,3,CSE,Medium,1
6.1,3,7,42,3,2,ECE,Medium,1
6.61,3,1,85,8,3,EEE,High,1
5.74,1,8,42,8,2,CSE,High,1
6.42,4,4,90,1,2,ECE,Medium,1
8.9,3,0,89,3,2,MECH,Low,1
7.61,3,3,92,3,2,ECE,High,1
5.17,4,5,48,3,0,EEE,Medium,1
9.91,1,9,62,9,1,CSE,High,1
8.08,1,0,97,6,0,ECE,Medium,1
5.29,4,2,89,3,0,CSE,Low,1
8.31,0,5,52,1,2,ECE,Medium,1
6.89,2,0,56,1,1,CSE,Medium,1
5.68,4,6,48,2,4,CSE,Low,1
7.82,0,4,92,7,4,CSE,High,1
8.64,3,4,55,1,2,MECH,Medium,1
8.36,3,7,97,7,4,CSE,Low,1
6.24,1,7,82,2,3,ECE,Low,0
7.62,0,2,70,2,1,CSE,Medium,1
7.69,0,1,54,4,4,EEE,Low,0
8.58,0,7,64,7,3,CSE,Low,1
6.8,3,4,80,3,4,CSE,Low,1
8.99,1,8,85,7,4,ECE,Low,1
8.14,1,6,53,2,3,CSE,High,1
5.19,4,5,87,1,0,EEE,High,1
7.73,3,0,92,4,4,ECE,Low,1
9.31,0,9,67,4,1,CSE,Medium,1
7.84,1,0,72,6,0,CSE,High,1
5.88,3,9,67,4,3,ECE,High,1
7.55,3,5,51,3,3,CSE,Medium,1
8.78,2,8,84,5,2,CSE,Low,1
5.55,0,0,90,5,2,CSE,Low,0
9.09,0,4,94,9,2,CSE,Low,1
5.84,1,4,44,6,3,CSE,Medium,0
7.67,2,8,83,3,4,EEE,Medium,1
6.93,0,8,96,9,1,ECE,Medium,1
6.24,1,2,99,1,1,MECH,Medium,1
8.24,2,1,66,1,1,ECE,Low,1
5.19,2,9,40,5,0,ECE,High,1
8.8,3,7,90,5,0,MECH,Low,1
7.63,1,0,44,8,4,EEE,Medium,0
9.38,1,3,62,1,1,CSE,Low,1
7.6,1,3,47,7,0,MECH,High,1
5.18,1,8,47,8,4,MECH,Low,0
5.72,1,4,74,9,4,CSE,Low,0
8.98,3,7,90,7,2,ECE,Low,1
7.46,4,2,65,2,3,CSE,High,1
7.21,3,2,99,6,4,EEE,Low,1
6.59,1,5,48,2,4,ECE,Medium,0
6.42,1,5,64,5,1,CSE,High,1
9.83,1,3,52,6,3,EEE,Medium,1
7.16,4,5,54,9,0,ECE,Medium,1
9.42,4,0,67,6,4,CSE,High,1
8.24,3,3,70,2,3,ECE,High,1
9.29,3,1,69,1,0,CSE,Medium,1
9.26,3,8,51,6,1,EEE,High,1
9.78,2,2,70,5,3,EEE,Low,1
8.49,1,5,77,7,4,ECE,Medium,1
9.03,0,6,78,3,1,CSE,Medium,1
8.67,4,4,82,8,0,ECE,Medium,1
8.03,1,3,42,2,1,CSE,High,1
8.59,3,8,49,2,4,ECE,Medium,1
8.58,2,1,98,4,4,CSE,High,1
5.2,4,1,57,8,4,EEE,Medium,1
7.58,2,2,46,4,0,CSE,High,1
8.96,3,6,86,8,0,MECH,High,1
6.21,1,1,94,1,4,CSE,Low,0
7.33,2,9,79,8,1,MECH,Medium,1
7.17,2,6,79,7,3,CSE,High,1
7.01,3,9,89,2,2,CSE,Medium,1
5.61,2,6,90,3,2,ECE,Low,1
7.63,2,4,86,2,1,CSE,Low,1
7.23,0,0,60,7,3,ECE,High,0
8.32,4,3,67,1,3,CSE,High,1
7.75,4,7,47,2,2,ECE,Low,1
5.14,0,2,49,2,2,CSE,Low,0
5.16,1,2,78,6,2,CSE,High,1
8.51,4,0,68,6,2,CSE,High,1
8.54,1,4,55,9,2,CSE,High,1
9.8,3,0,73,2,4,CSE,Medium,1
